"","nice_name","short_name"
"1","All-items HICP","y_AllitemsHICP"
"2","Food and non-alcoholic beverages","y_Foodandnonalc"
"3","Food","y_Food"
"4","Alcoholic beverages, tobacco and narcotics","y_Alcoholicbeve"
"5","Clothing and footwear","y_Clothingandfo"
"6","Housing, water, electricity, gas and other fuels","y_Housingwatere"
"7","Furnishings, household equipment and routine household maintenance","y_Furnishingsho"
"8","Health","y_Health"
"9","Transport","y_Transport"
"10","Communications","y_Communication"
"11","Recreation and culture","y_Recreationand"
"12","Education","y_Education"
"13","Restaurants and hotels","y_Restaurantsan"
"14","Miscellaneous goods and services","y_Miscellaneous"
"42561","Gross domestic product at market prices","Grossdomesticpr"
"45247","Euro dummy","Eurodummy"
"46651","Unemployment rate","Unemploymentrat"
"50127","Population","Population"
