"TIME","GEO","STATINFO","Value"
"1995Q1","Belgium","Value at the end of the period","0.94387864"
"1995Q2","Belgium","Value at the end of the period","0.94837750"
"1995Q3","Belgium","Value at the end of the period","0.95682323"
"1995Q4","Belgium","Value at the end of the period","0.95929588"
"1996Q1","Belgium","Value at the end of the period","0.96485118"
"1996Q2","Belgium","Value at the end of the period","0.97693847"
"1996Q3","Belgium","Value at the end of the period","0.97929097"
"1996Q4","Belgium","Value at the end of the period","0.99410509"
"1997Q1","Belgium","Value at the end of the period","0.99844571"
"1997Q2","Belgium","Value at the end of the period","1.0077516"
"1997Q3","Belgium","Value at the end of the period","1.0058131"
"1997Q4","Belgium","Value at the end of the period","1.0105999"
"1998Q1","Belgium","Value at the end of the period","1.0157561"
"1998Q2","Belgium","Value at the end of the period","1.0112742"
"1998Q3","Belgium","Value at the end of the period","1.0035771"
"1998Q4","Belgium","Value at the end of the period","1.0000000"
"1999Q1","Belgium","Value at the end of the period","1.0000000"
"1999Q2","Belgium","Value at the end of the period","1.0000000"
"1999Q3","Belgium","Value at the end of the period","1.0000000"
"1999Q4","Belgium","Value at the end of the period","1.0000000"
"2000Q1","Belgium","Value at the end of the period","1.0000000"
"2000Q2","Belgium","Value at the end of the period","1.0000000"
"2000Q3","Belgium","Value at the end of the period","1.0000000"
"2000Q4","Belgium","Value at the end of the period","1.0000000"
"2001Q1","Belgium","Value at the end of the period","1.0000000"
"2001Q2","Belgium","Value at the end of the period","1.0000000"
"2001Q3","Belgium","Value at the end of the period","1.0000000"
"2001Q4","Belgium","Value at the end of the period","1.0000000"
"2002Q1","Belgium","Value at the end of the period","1.0000000"
"2002Q2","Belgium","Value at the end of the period","1.0000000"
"2002Q3","Belgium","Value at the end of the period","1.0000000"
"2002Q4","Belgium","Value at the end of the period","1.0000000"
"2003Q1","Belgium","Value at the end of the period","1.0000000"
"2003Q2","Belgium","Value at the end of the period","1.0000000"
"2003Q3","Belgium","Value at the end of the period","1.0000000"
"2003Q4","Belgium","Value at the end of the period","1.0000000"
"2004Q1","Belgium","Value at the end of the period","1.0000000"
"2004Q2","Belgium","Value at the end of the period","1.0000000"
"2004Q3","Belgium","Value at the end of the period","1.0000000"
"2004Q4","Belgium","Value at the end of the period","1.0000000"
"2005Q1","Belgium","Value at the end of the period","1.0000000"
"2005Q2","Belgium","Value at the end of the period","1.0000000"
"2005Q3","Belgium","Value at the end of the period","1.0000000"
"2005Q4","Belgium","Value at the end of the period","1.0000000"
"2006Q1","Belgium","Value at the end of the period","1.0000000"
"2006Q2","Belgium","Value at the end of the period","1.0000000"
"2006Q3","Belgium","Value at the end of the period","1.0000000"
"2006Q4","Belgium","Value at the end of the period","1.0000000"
"2007Q1","Belgium","Value at the end of the period","1.0000000"
"2007Q2","Belgium","Value at the end of the period","1.0000000"
"2007Q3","Belgium","Value at the end of the period","1.0000000"
"2007Q4","Belgium","Value at the end of the period","1.0000000"
"2008Q1","Belgium","Value at the end of the period","1.0000000"
"2008Q2","Belgium","Value at the end of the period","1.0000000"
"2008Q3","Belgium","Value at the end of the period","1.0000000"
"2008Q4","Belgium","Value at the end of the period","1.0000000"
"2009Q1","Belgium","Value at the end of the period","1.0000000"
"2009Q2","Belgium","Value at the end of the period","1.0000000"
"2009Q3","Belgium","Value at the end of the period","1.0000000"
"2009Q4","Belgium","Value at the end of the period","1.0000000"
"2010Q1","Belgium","Value at the end of the period","1.0000000"
"2010Q2","Belgium","Value at the end of the period","1.0000000"
"2010Q3","Belgium","Value at the end of the period","1.0000000"
"2010Q4","Belgium","Value at the end of the period","1.0000000"
"2011Q1","Belgium","Value at the end of the period","1.0000000"
"2011Q2","Belgium","Value at the end of the period","1.0000000"
"2011Q3","Belgium","Value at the end of the period","1.0000000"
"2011Q4","Belgium","Value at the end of the period","1.0000000"
