"TIME","GEO","UNIT","S_ADJ","NA_ITEM","Value"
"1995Q1","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 389 557.6"
"1995Q2","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 403 005.1"
"1995Q3","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 415 249.8"
"1995Q4","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 426 036.0"
"1996Q1","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 432 077.0"
"1996Q2","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 449 846.5"
"1996Q3","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 464 752.7"
"1996Q4","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 474 593.5"
"1997Q1","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 489 639.2"
"1997Q2","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 519 165.3"
"1997Q3","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 536 549.1"
"1997Q4","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 564 880.7"
"1998Q1","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 579 978.5"
"1998Q2","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 595 443.4"
"1998Q3","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 611 172.3"
"1998Q4","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 622 210.2"
"1999Q1","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 641 236.8"
"1999Q2","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 658 341.8"
"1999Q3","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 690 217.9"
"1999Q4","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","2 723 375.7"
