"TIME","GEO","AGE","SEX","Value"
"1995","European Union (28 countries)","Total","Total","481 659 499"
"1996","European Union (28 countries)","Total","Total","482 437 319"
"1997","European Union (28 countries)","Total","Total","483 174 847"
"1998","European Union (28 countries)","Total","Total","485 480 942"
"1999","European Union (28 countries)","Total","Total","486 182 967"
"2000","European Union (28 countries)","Total","Total","486 958 178"
"2001","European Union (28 countries)","Total","Total","488 150 701"
"2002","European Union (28 countries)","Total","Total","489 065 254"
"2003","European Union (28 countries)","Total","Total","490 815 046"
"2004","European Union (28 countries)","Total","Total","492 709 300"
"2005","European Union (28 countries)","Total","Total","494 774 599"
"2006","European Union (28 countries)","Total","Total","496 633 373"
"2007","European Union (28 countries)","Total","Total","498 408 547"
"2008","European Union (28 countries)","Total","Total","500 418 320"
"2009","European Union (28 countries)","Total","Total","502 186 144"
"2010","European Union (28 countries)","Total","Total","503 379 305"
"2011","European Union (28 countries)","Total","Total","504 961 522"
"2012","European Union (28 countries)","Total","Total","506 098 349"
"2013","European Union (28 countries)","Total","Total","507 162 571"
"1995","European Union (27 countries)","Total","Total","477 000 606"
"1996","European Union (27 countries)","Total","Total","477 856 152"
"1997","European Union (27 countries)","Total","Total","478 641 819"
"1998","European Union (27 countries)","Total","Total","480 944 130"
"1999","European Union (27 countries)","Total","Total","481 655 508"
"2000","European Union (27 countries)","Total","Total","482 460 443"
"2001","European Union (27 countries)","Total","Total","483 855 295"
"2002","European Union (27 countries)","Total","Total","484 759 760"
"2003","European Union (27 countries)","Total","Total","486 509 662"
"2004","European Union (27 countries)","Total","Total","488 403 575"
"2005","European Union (27 countries)","Total","Total","490 463 738"
"2006","European Union (27 countries)","Total","Total","492 320 886"
"2007","European Union (27 countries)","Total","Total","494 095 017"
"2008","European Union (27 countries)","Total","Total","496 106 353"
"2009","European Union (27 countries)","Total","Total","497 876 348"
"2010","European Union (27 countries)","Total","Total","499 076 458"
"2011","European Union (27 countries)","Total","Total","500 671 665"
"2012","European Union (27 countries)","Total","Total","501 822 365"
"2013","European Union (27 countries)","Total","Total","502 900 431"
"1995","Euro area (18 countries)","Total","Total","310 991 774"
"1996","Euro area (18 countries)","Total","Total","311 764 998"
"1997","Euro area (18 countries)","Total","Total","312 522 351"
"1998","Euro area (18 countries)","Total","Total","314 796 667"
"1999","Euro area (18 countries)","Total","Total","315 442 537"
"2000","Euro area (18 countries)","Total","Total","316 562 271"
"2001","Euro area (18 countries)","Total","Total","317 870 307"
"2002","Euro area (18 countries)","Total","Total","319 445 267"
"2003","Euro area (18 countries)","Total","Total","321 225 584"
"2004","Euro area (18 countries)","Total","Total","323 012 465"
"2005","Euro area (18 countries)","Total","Total","324 890 029"
