"TIME","GEO","S_ADJ","AGE","SEX","Value"
"1995Q1","European Union (28 countries)","Seasonally adjusted data","Total","Total",":"
"1995Q2","European Union (28 countries)","Seasonally adjusted data","Total","Total",":"
"1995Q3","European Union (28 countries)","Seasonally adjusted data","Total","Total",":"
"1995Q4","European Union (28 countries)","Seasonally adjusted data","Total","Total",":"
"1996Q1","European Union (28 countries)","Seasonally adjusted data","Total","Total",":"
"1996Q2","European Union (28 countries)","Seasonally adjusted data","Total","Total",":"
"1996Q3","European Union (28 countries)","Seasonally adjusted data","Total","Total",":"
"1996Q4","European Union (28 countries)","Seasonally adjusted data","Total","Total",":"
"1997Q1","European Union (28 countries)","Seasonally adjusted data","Total","Total",":"
"1997Q2","European Union (28 countries)","Seasonally adjusted data","Total","Total",":"
"1997Q3","European Union (28 countries)","Seasonally adjusted data","Total","Total",":"
"1997Q4","European Union (28 countries)","Seasonally adjusted data","Total","Total",":"
"1998Q1","European Union (28 countries)","Seasonally adjusted data","Total","Total",":"
"1998Q2","European Union (28 countries)","Seasonally adjusted data","Total","Total",":"
"1998Q3","European Union (28 countries)","Seasonally adjusted data","Total","Total",":"
"1998Q4","European Union (28 countries)","Seasonally adjusted data","Total","Total",":"
"1999Q1","European Union (28 countries)","Seasonally adjusted data","Total","Total",":"
"1999Q2","European Union (28 countries)","Seasonally adjusted data","Total","Total",":"
"1999Q3","European Union (28 countries)","Seasonally adjusted data","Total","Total",":"
"1999Q4","European Union (28 countries)","Seasonally adjusted data","Total","Total",":"
"2000Q1","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.2"
"2000Q2","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.1"
"2000Q3","European Union (28 countries)","Seasonally adjusted data","Total","Total","8.9"
"2000Q4","European Union (28 countries)","Seasonally adjusted data","Total","Total","8.8"
"2001Q1","European Union (28 countries)","Seasonally adjusted data","Total","Total","8.7"
"2001Q2","European Union (28 countries)","Seasonally adjusted data","Total","Total","8.7"
"2001Q3","European Union (28 countries)","Seasonally adjusted data","Total","Total","8.7"
"2001Q4","European Union (28 countries)","Seasonally adjusted data","Total","Total","8.9"
"2002Q1","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.0"
"2002Q2","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.0"
"2002Q3","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.1"
"2002Q4","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.1"
"2003Q1","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.2"
"2003Q2","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.2"
"2003Q3","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.2"
"2003Q4","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.2"
"2004Q1","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.3"
"2004Q2","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.2"
"2004Q3","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.2"
"2004Q4","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.2"
"2005Q1","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.2"
"2005Q2","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.1"
"2005Q3","European Union (28 countries)","Seasonally adjusted data","Total","Total","8.9"
"2005Q4","European Union (28 countries)","Seasonally adjusted data","Total","Total","8.8"
"2006Q1","European Union (28 countries)","Seasonally adjusted data","Total","Total","8.6"
"2006Q2","European Union (28 countries)","Seasonally adjusted data","Total","Total","8.3"
"2006Q3","European Union (28 countries)","Seasonally adjusted data","Total","Total","8.1"
"2006Q4","European Union (28 countries)","Seasonally adjusted data","Total","Total","7.8"
"2007Q1","European Union (28 countries)","Seasonally adjusted data","Total","Total","7.5"
"2007Q2","European Union (28 countries)","Seasonally adjusted data","Total","Total","7.2"
"2007Q3","European Union (28 countries)","Seasonally adjusted data","Total","Total","7.1"
"2007Q4","European Union (28 countries)","Seasonally adjusted data","Total","Total","7.0"
"2008Q1","European Union (28 countries)","Seasonally adjusted data","Total","Total","6.8"
"2008Q2","European Union (28 countries)","Seasonally adjusted data","Total","Total","6.9"
"2008Q3","European Union (28 countries)","Seasonally adjusted data","Total","Total","7.1"
"2008Q4","European Union (28 countries)","Seasonally adjusted data","Total","Total","7.5"
"2009Q1","European Union (28 countries)","Seasonally adjusted data","Total","Total","8.3"
"2009Q2","European Union (28 countries)","Seasonally adjusted data","Total","Total","8.9"
"2009Q3","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.2"
"2009Q4","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.4"
"2010Q1","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.6"
"2010Q2","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.6"
"2010Q3","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.6"
"2010Q4","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.6"
"2011Q1","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.4"
"2011Q2","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.5"
"2011Q3","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.7"
"2011Q4","European Union (28 countries)","Seasonally adjusted data","Total","Total","9.9"
"2012Q1","European Union (28 countries)","Seasonally adjusted data","Total","Total","10.1"
"2012Q2","European Union (28 countries)","Seasonally adjusted data","Total","Total","10.4"
"2012Q3","European Union (28 countries)","Seasonally adjusted data","Total","Total","10.5"
